KO	X103post	X103pre	X104post	X104pre	X107post	X107pre	X109post	X109pre	X111post	X111pre	X116post	X116pre	X118post	X118pre	X119post	X119pre	X123post	X123pre	X124post	X124pre	X127post	X127pre	X130post	X130pre	X133post	X133pre	X138post	X138pre	X139post	X139pre	X140post	X140pre
K00001	5	0	27	16	21	11	9	4	8	5	14	7	11	9	5	4	4	14	3	4	16	32	8	11	16	17	5	2	6	3	11	8
K00002	0	0	4	1	0	0	0	0	1	1	0	1	1	0	2	1	0	0	0	0	0	1	0	0	1	3	1	1	0	0	1	0
K00003	17	1	20	8	10	9	9	3	8	7	8	6	8	9	5	5	6	7	5	2	6	7	5	7	9	10	6	2	7	2	10	11
K00004	3	0	4	3	2	1	3	2	1	0	2	0	1	2	1	0	0	2	0	0	2	4	1	1	5	12	1	0	1	0	1	1
K00005	1	0	11	5	4	3	3	1	6	4	8	3	2	1	1	0	0	5	2	2	1	3	2	4	8	10	1	0	2	0	2	1
K00007	0	0	1	1	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0
K00008	11	0	12	4	4	2	3	1	5	3	5	3	2	12	3	5	2	3	2	0	3	13	2	4	7	16	2	1	5	1	3	2
K00009	0	0	2	1	2	1	2	0	1	1	0	1	0	1	1	1	2	1	0	0	1	2	1	2	2	4	1	0	0	0	1	1
K00010	0	0	6	7	9	4	11	8	2	3	1	3	18	3	2	1	2	1	0	0	4	6	5	12	3	3	4	2	1	1	5	4
K00012	14	0	34	18	13	11	26	12	11	10	4	16	29	17	16	10	9	5	5	4	18	26	11	16	3	6	12	6	4	3	13	12
K00013	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	18	9	12	7	11	9	4	9	5	15	15
K00014	25	1	40	23	22	18	19	9	13	10	11	13	23	16	12	9	10	10	8	3	22	32	13	15	12	19	12	5	14	6	19	20
K00015	19	1	32	17	16	15	15	7	8	7	1	10	18	10	10	6	6	5	8	4	20	28	11	11	3	11	11	4	8	4	14	17
K00016	6	0	12	3	10	5	6	1	4	2	10	2	3	2	2	1	3	13	2	2	3	19	4	6	13	15	1	1	6	1	5	3
K00018	15	1	31	17	17	14	14	6	10	9	4	11	15	12	9	7	9	6	7	4	18	34	11	12	4	5	9	4	9	4	15	17
K00019	8	0	24	13	11	10	7	3	8	6	2	10	11	5	12	5	3	6	2	1	11	29	5	4	5	10	8	4	4	2	12	9
K00020	3	0	3	2	2	1	2	0	2	0	3	1	1	0	0	0	0	2	1	1	1	2	1	2	3	4	0	0	5	1	2	2
K00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K00023	17	1	31	17	11	12	7	5	8	8	2	13	19	14	13	9	6	1	4	1	17	22	9	9	2	5	11	5	4	3	13	13
K00024	5	1	29	19	22	13	16	7	7	6	8	13	18	13	11	7	10	8	1	2	26	25	11	14	9	8	9	5	6	5	16	14
K00027	14	1	29	18	16	12	14	6	10	8	4	11	15	12	9	7	8	2	5	2	18	21	10	12	5	10	9	4	8	5	14	16
K00029	12	1	28	19	16	12	16	9	10	9	4	12	20	13	10	7	9	2	5	3	19	29	10	12	4	10	10	5	6	4	14	16
K00030	14	1	12	6	3	5	7	3	3	4	4	3	6	9	3	5	4	1	4	1	4	7	3	2	3	9	5	2	3	2	5	8
K00031	20	1	33	17	16	14	17	7	11	9	6	10	16	13	8	6	8	6	6	1	20	22	10	12	7	12	11	5	9	6	16	19
K00033	7	0	17	9	7	5	6	3	3	2	1	6	8	10	4	3	3	0	0	1	12	12	5	7	2	11	4	2	2	3	6	6
K00034	4	0	14	9	7	5	1	0	3	2	4	5	4	8	6	4	2	1	1	0	12	22	4	3	4	10	3	2	3	3	7	5
K00035	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00036	3	0	15	9	7	5	6	3	3	2	0	5	8	5	4	2	2	0	0	0	12	12	4	6	1	6	4	2	2	3	6	5
K00038	3	0	4	1	0	0	0	0	1	2	1	1	1	5	2	3	1	0	1	1	0	2	1	1	1	3	1	1	0	0	1	0
K00039	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00040	8	0	10	7	6	6	7	3	4	4	0	3	6	3	4	2	3	1	3	1	6	11	3	2	1	10	5	2	3	2	6	8
K00041	9	1	21	15	13	11	9	5	6	5	1	8	14	7	7	4	5	1	3	1	17	17	8	8	0	4	8	4	5	4	12	13
K00042	0	0	2	2	5	1	2	0	1	1	2	0	1	0	1	0	0	1	0	1	2	4	1	1	3	7	0	0	1	0	1	1
K00043	5	0	6	5	2	4	5	4	2	3	0	3	11	4	4	2	2	4	2	0	3	3	3	3	1	2	3	2	1	0	3	4
K00045	0	0	1	2	0	0	1	1	0	1	0	0	3	0	0	0	0	0	0	0	1	2	1	2	0	3	0	0	0	0	0	0
K00046	33	2	65	42	38	33	32	18	18	17	4	25	45	21	22	12	14	3	11	2	47	58	23	24	5	19	26	11	13	10	34	41
K00048	25	1	42	23	23	20	23	10	14	11	5	13	22	11	11	6	8	10	7	1	24	34	13	15	5	15	14	6	14	6	20	23
K00052	18	1	36	20	19	14	15	6	10	8	6	12	16	15	9	7	9	3	6	3	24	24	11	14	7	12	10	5	10	6	17	18
K00053	19	1	32	16	16	12	14	6	10	8	5	11	16	15	9	7	8	3	5	2	18	19	9	12	7	15	10	4	8	5	15	16
K00054	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K00055	3	0	1	1	1	0	1	0	0	1	1	0	0	5	0	2	1	0	0	0	1	2	0	0	1	4	0	0	0	0	0	0
K00057	18	1	33	17	19	14	15	6	11	9	10	12	17	14	10	7	11	9	5	2	19	27	11	13	13	15	10	5	10	5	17	17
K00058	39	2	74	37	36	28	35	14	24	19	10	24	31	27	19	14	19	13	14	9	38	70	23	29	15	26	20	9	21	10	32	34
K00059	80	5	191	115	99	81	87	43	53	46	23	75	109	69	66	42	45	29	23	8	125	161	60	71	24	57	63	29	43	28	91	94
K00060	3	0	1	2	1	0	2	1	0	1	2	0	3	5	0	2	2	0	0	0	1	3	1	3	1	7	1	0	0	1	0	0
K00064	4	1	15	12	7	6	5	4	4	3	1	5	7	3	4	2	3	0	1	0	14	14	5	6	1	3	6	3	3	4	8	9
K00065	17	1	20	10	5	10	12	6	8	8	2	5	7	5	4	2	5	1	6	1	9	25	6	5	3	15	10	4	6	5	12	16
K00066	0	0	3	0	0	0	0	0	1	1	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
K00067	23	2	46	24	25	20	30	14	15	14	6	21	31	18	20	13	15	6	7	2	29	30	14	16	6	10	19	9	8	7	25	26
K00068	3	0	5	2	3	1	2	0	2	0	2	0	1	0	0	0	0	2	0	0	2	11	1	2	4	8	1	0	4	1	2	1
K00073	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	2	0	0	3	4	0	0	1	0	0	0
K00074	11	0	15	8	10	8	10	4	5	4	3	3	8	3	4	2	3	6	5	2	6	16	5	5	7	10	6	2	6	2	9	9
K00075	20	1	36	18	17	14	16	6	11	9	7	11	16	13	9	7	9	6	6	3	19	27	11	14	7	13	9	4	12	5	15	16
K00076	0	0	3	0	0	0	3	1	1	1	0	2	1	0	2	1	0	0	0	0	0	1	0	0	0	3	1	1	0	0	1	0
K00077	23	2	41	24	21	20	22	10	12	11	7	14	21	15	11	9	10	3	7	1	28	38	13	13	8	13	17	7	9	8	23	27
K00082	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
K00086	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	1	10	1	0	1	4	0	0	0	0	0	0
K00087	3	0	2	1	1	0	1	0	1	0	3	0	0	0	0	0	0	0	1	1	2	2	1	2	0	3	0	0	4	1	1	1
K00088	20	1	38	18	17	14	19	7	10	10	6	13	16	15	10	7	11	6	6	3	19	27	11	13	9	20	10	5	9	5	16	16
